weight_config,w_err,w_tfp,w_rp_pen,algo_index,problem_statement,processing_status,processing_time,total_iterations,converged,v1_verdict,v2_verdict,overall_score,crs_final,err_final,rp_final,tfp_final,errors_fixed,errors_introduced,net_improvement,total_errors_v1,total_errors_final
werr0.20_wrp0.00,0.2,0.8,0.0,0,The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_,COMPLETED,283.58,2,True,FAIL,PASS,5,1.0,1.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,1,The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_,COMPLETED,67.27,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,2,The algorithm maintains two sequences x_k and y_k. Update: y_k = x_k + beta_k(x_,COMPLETED,64.39,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,3,"The algorithm updates parameters via x_{k+1} = argmin_x { <grad(f)(x_k), x> + (1",COMPLETED,148.35,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,4,"The algorithm updates parameters via x_{k+1} = argmin_x { <grad(f)(x_k), x> + (1",COMPLETED,189.27,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,5,The algorithm uses a double-loop structure. Outer loop updates full gradient. In,COMPLETED,83.92,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,6,The algorithm uses a double-loop structure. Outer loop updates full gradient. In,COMPLETED,68.22,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,7,The algorithm uses a double-loop structure. Outer loop updates full gradient. In,COMPLETED,240.23,2,True,FAIL,PASS,5,1.0,1.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,8,The algorithm maintains a table of past gradients phi_i. Update: x_{k+1} = x_k -,COMPLETED,75.48,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,9,The algorithm maintains a table of past gradients phi_i. Update: x_{k+1} = x_k -,COMPLETED,100.48,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,10,The algorithm maintains a recursive variance estimator v_t = (1-alpha)v_{t-1} + ,COMPLETED,73.97,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,11,The algorithm maintains a recursive variance estimator v_t = (1-alpha)v_{t-1} + ,COMPLETED,78.51,1,True,PASS_MINOR,PASS_MINOR,4,0.88,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,12,The algorithm maintains exponential moving averages m_t and v_t. Update includes,COMPLETED,127.77,1,False,FAIL,FAIL,2,0.4,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,13,The algorithm maintains exponential moving averages m_t and v_t. Update includes,COMPLETED,88.81,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
werr0.20_wrp0.00,0.2,0.8,0.0,14,The algorithm updates parameters using only the sign of the gradient: x_{k+1} = ,COMPLETED,88.67,1,True,PASS,PASS,5,1.0,0.0,0.0,1.0,0,0,0,0,0
