w_err,w_tfp,w_rp_pen,spearman_r,spearman_p,pearson_r,pearson_p,mae_vs_human
0.1,0.9,0.0,0.065049,0.612498,0.245229,0.052726,0.11746
0.1,0.9,0.1,0.065049,0.612498,0.245766,0.052194,0.117619
0.1,0.9,0.2,0.065049,0.612498,0.246287,0.051681,0.117778
0.1,0.9,0.3,0.065049,0.612498,0.246794,0.051186,0.117937
0.1,0.9,0.4,0.065049,0.612498,0.247288,0.050708,0.118095
0.1,0.9,0.5,0.065049,0.612498,0.247767,0.050247,0.118254
0.1,0.9,0.6,0.065049,0.612498,0.248234,0.049801,0.118413
0.1,0.9,0.7,0.065049,0.612498,0.248689,0.049371,0.118571
0.1,0.9,0.8,0.065049,0.612498,0.249131,0.048955,0.11873
0.2,0.8,0.0,0.065049,0.612498,0.171162,0.179831,0.149206
0.2,0.8,0.1,0.065049,0.612498,0.174581,0.171161,0.149524
0.2,0.8,0.2,0.065049,0.612498,0.17785,0.163161,0.149841
0.2,0.8,0.3,0.065049,0.612498,0.180976,0.155772,0.150159
0.2,0.8,0.4,0.065049,0.612498,0.183964,0.148941,0.150476
0.2,0.8,0.5,0.065049,0.612498,0.186823,0.142618,0.150794
0.2,0.8,0.6,0.065049,0.612498,0.189558,0.136759,0.151111
0.2,0.8,0.7,0.065049,0.612498,0.192175,0.131324,0.151429
0.2,0.8,0.8,0.065049,0.612498,0.19468,0.126276,0.151746
0.3,0.7,0.0,0.065049,0.612498,0.085432,0.505578,0.222222
0.3,0.7,0.1,0.065049,0.612498,0.092373,0.471495,0.222698
0.3,0.7,0.2,0.065049,0.612498,0.099066,0.439834,0.223175
0.3,0.7,0.3,0.065049,0.612498,0.105513,0.410502,0.223651
0.3,0.7,0.4,0.065049,0.612498,0.111713,0.383389,0.224127
0.3,0.7,0.5,0.065049,0.612498,0.11767,0.358373,0.224603
0.3,0.7,0.6,0.065049,0.612498,0.123388,0.335326,0.225079
0.3,0.7,0.7,0.065049,0.612498,0.128873,0.314119,0.225556
0.3,0.7,0.8,0.065049,0.612498,0.134129,0.294621,0.226032
0.4,0.6,0.0,0.065049,0.612498,0.01875,0.884038,0.295238
0.4,0.6,0.1,0.065049,0.612498,0.027472,0.830762,0.295873
0.4,0.6,0.2,0.065049,0.612498,0.036031,0.77921,0.296508
0.4,0.6,0.3,0.065049,0.612498,0.044407,0.729656,0.297143
0.4,0.6,0.4,0.065049,0.612498,0.052585,0.682317,0.297778
0.4,0.6,0.5,0.065049,0.612498,0.06055,0.637351,0.298413
0.4,0.6,0.6,0.065049,0.612498,0.06829,0.594863,0.299048
0.4,0.6,0.7,0.065049,0.612498,0.075797,0.554907,0.299683
0.4,0.6,0.8,0.065049,0.612498,0.083064,0.51749,0.300317
0.5,0.5,0.0,0.001428,0.991139,-0.026485,0.836754,0.368254
0.5,0.5,0.1,0.065049,0.612498,-0.01731,0.892888,0.369048
0.5,0.5,0.2,0.065049,0.612498,-0.008171,0.949325,0.369841
0.5,0.5,0.3,0.065049,0.612498,0.000904,0.994391,0.370635
0.5,0.5,0.4,0.065049,0.612498,0.009886,0.938707,0.371429
0.5,0.5,0.5,0.065049,0.612498,0.01875,0.884038,0.372222
0.5,0.5,0.6,0.065049,0.612498,0.027472,0.830762,0.373016
0.5,0.5,0.7,0.065049,0.612498,0.036031,0.77921,0.37381
0.5,0.5,0.8,0.065049,0.612498,0.044407,0.729656,0.374603
0.6,0.4,0.0,-0.062293,0.62767,-0.05695,0.657522,0.44127
0.6,0.4,0.1,-0.062293,0.62767,-0.047869,0.709481,0.442222
0.6,0.4,0.2,-0.062293,0.62767,-0.038724,0.763168,0.443175
0.6,0.4,0.3,-0.062293,0.62767,-0.029547,0.81819,0.444127
0.6,0.4,0.4,0.065049,0.612498,-0.020366,0.87412,0.445079
0.6,0.4,0.5,0.065049,0.612498,-0.011211,0.930507,0.446032
0.6,0.4,0.6,0.065049,0.612498,-0.002112,0.986892,0.446984
0.6,0.4,0.7,0.065049,0.612498,0.006904,0.957175,0.447937
0.6,0.4,0.8,0.065049,0.612498,0.01581,0.902123,0.448889
0.7,0.3,0.0,-0.062293,0.62767,-0.078151,0.542649,0.52381
0.7,0.3,0.1,-0.062293,0.62767,-0.069334,0.589231,0.522698
0.7,0.3,0.2,-0.062293,0.62767,-0.060387,0.638256,0.522857
0.7,0.3,0.3,-0.062293,0.62767,-0.051337,0.689464,0.523968
0.7,0.3,0.4,-0.062293,0.62767,-0.042214,0.742536,0.525079
0.7,0.3,0.5,-0.062293,0.62767,-0.033045,0.797098,0.52619
0.7,0.3,0.6,0.065049,0.612498,-0.023862,0.852735,0.527302
0.7,0.3,0.7,0.065049,0.612498,-0.014694,0.909002,0.528413
0.7,0.3,0.8,0.065049,0.612498,-0.00557,0.965442,0.529524
0.8,0.2,0.0,-0.062293,0.62767,-0.093492,0.46612,0.606349
0.8,0.2,0.1,-0.062293,0.62767,-0.08497,0.507894,0.605079
0.8,0.2,0.2,-0.062293,0.62767,-0.076274,0.552415,0.60381
0.8,0.2,0.3,-0.062293,0.62767,-0.067427,0.599538,0.60381
0.8,0.2,0.4,-0.062293,0.62767,-0.058456,0.649055,0.605079
0.8,0.2,0.5,-0.062293,0.62767,-0.049388,0.700692,0.606349
0.8,0.2,0.6,-0.062293,0.62767,-0.040252,0.754116,0.607619
0.8,0.2,0.7,-0.062293,0.62767,-0.031077,0.808945,0.608889
0.8,0.2,0.8,0.065049,0.612498,-0.021895,0.864754,0.610159
0.9,0.1,0.0,-0.062293,0.62767,-0.104999,0.412798,0.688889
0.9,0.1,0.1,-0.062293,0.62767,-0.096754,0.450635,0.68746
0.9,0.1,0.2,-0.062293,0.62767,-0.088306,0.491316,0.686032
0.9,0.1,0.3,-0.062293,0.62767,-0.079675,0.534782,0.684603
0.9,0.1,0.4,-0.062293,0.62767,-0.070883,0.580915,0.685079
0.9,0.1,0.5,-0.062293,0.62767,-0.061957,0.62953,0.686508
0.9,0.1,0.6,-0.062293,0.62767,-0.052924,0.680379,0.687937
0.9,0.1,0.7,-0.062293,0.62767,-0.043811,0.733151,0.689365
0.9,0.1,0.8,-0.062293,0.62767,-0.034648,0.787482,0.690794
